id,group_id,course_code,is_mandatory,notes
1,1,MGEC08H3,1,
2,1,MGEB12H3,1,
3,1,MGAD70H3,1,
4,1,MGFC35H3,1,
5,1,MGAD20H3,1,
6,1,MGAD40H3,1,
7,1,MGAD45H3,1,
8,1,MGAD50H3,1,
9,1,MGAD65H3,1,
10,2,ANTB80H3,1,
11,2,ANTC47H3,1,
12,2,ANTC48H3,1,
13,2,ANTD35H3,1,
14,3,BIOB98H3,1,
15,3,BIOB99H3,1,
16,3,BIOD98Y3,1,
17,3,BIOB97H3,1,
18,3,BIOC99H3,1,
19,3,BIOD99Y3,1,
20,4,MGEA01H3,1,
21,4,MGEA05H3,1,
22,4,MGEA02H3,1,
23,4,MGEA06H3,1,
24,4,MGTA01H3,1,
25,4,MGTA02H3,1,
26,5,SOCB35H3,1,
27,5,STAB23H3,1,
28,5,SOCC70H3,1,
29,5,CSCA20H3,1,
30,5,GGRB30H3,1,
31,5,GGRB32H3,1,
32,5,GGRC30H3,1,
33,5,GGRC32H3,1,
34,5,GGRC42H3,1,
35,5,HLTC27H3,1,
36,5,POLD56H3,1,
37,6,MGEC61H3,1,
38,6,MGEC62H3,1,
39,6,MGEC82H3,1,
40,7,ANTB14H3,1,
41,7,ANTC47H3,1,
42,7,ANTC48H3,1,
43,7,ANTC16H3,1,
44,7,ANTC17H3,1,
45,7,ANTC99H3,1,
46,7,ANTD17H3,1,
47,7,ANTD35H3,1,
48,7,ANTD99H3,1,
49,7,ANTA01H3,1,
50,7,ANTA02H3,1,
51,8,MGFC50H3,1,
52,8,MGFC10H3,1,
53,9,IDSA01H3,1,
54,9,IDSB11H3,1,
55,9,AFSB51H3,1,
56,9,AFSB54H3,1,
57,9,ANTB05H3,1,
58,9,ANTB18H3,1,
59,9,GGRB28H3,1,
60,9,HISB30H3,1,
61,9,HISB51H3,1,
62,9,HISB58H3,1,
63,9,IDSB01H3,1,
64,9,IDSB02H3,1,
65,9,IDSB04H3,1,
66,9,IDSB06H3,1,
67,9,POLB90H3,1,
68,9,POLB91H3,1,
69,9,SOCB60H3,1,
70,9,WSTC10H3,1,
71,9,AFSC70H3,1,
72,9,HISC70H3,1,
73,9,ANTC10H3,1,
